Kategori,Soru,Şık A,Şık B,Şık C,Şık D,Doğru Şık
Tarih,Osmanlı Devleti hangi yıl kurulmuştur?,1453,1299,1071,1923,B
Tarih,Cumhuriyet ne zaman ilan edilmiştir?,1920,1919,1923,1938,C
Tarih,İkinci Dünya Savaşı hangi tarihler arasında olmuştur?,1950-1953,1939-1945,1914-1918,1920-1930,B
Tarih,Fatih Sultan Mehmet kaç yaşında tahta çıkmıştır?,16,21,12,18,C
Tarih,İlk Türk devleti hangisidir?,Asya Hun Devleti,Göktürkler,Uygurlar,Selçuklular,A
Tarih,Anadolu Selçuklu Devleti'nin başkenti neresidir?,Kayseri,Ankara,Sivas,Konya,D
Tarih,Lozan Antlaşması hangi yıl imzalanmıştır?,1919,1923,1938,1920,B
Tarih,İstanbul hangi yıl fethedildi?,1923,1071,1453,1299,C
Tarih,Mustafa Kemal Atatürk nerede doğmuştur?,Selanik,Ankara,Samsun,İstanbul,A
Tarih,Kurtuluş Savaşı hangi cephede başlamıştır?,İç Cephe,Güney Cephesi,Doğu Cephesi,Batı Cephesi,C
Tarih,Çanakkale Savaşı hangi savaşın parçasıdır?,İkinci Dünya Savaşı,Balkan Savaşları,Kurtuluş Savaşı,Birinci Dünya Savaşı,D
Tarih,Osmanlı'nın ilk padişahı kimdir?,Orhan Gazi,Fatih Sultan Mehmet,Osman Gazi,Yavuz Sultan Selim,C
Tarih,Türkiye'nin ilk Cumhurbaşkanı kimdir?,Celal Bayar,İsmet İnönü,Turgut Özal,Mustafa Kemal Atatürk,D
Tarih,Sakarya Meydan Muharebesi hangi yıl olmuştur?,1921,1920,1922,1919,A
Tarih,Atatürk'ün naaşı nereye defnedilmiştir?,Anıtkabir,TBMM,Dolmabahçe,Çankaya Köşkü,A
Tarih,İstiklal Marşı'nın yazarı kimdir?,Namık Kemal,Ziya Gökalp,Mehmet Akif Ersoy,Tevfik Fikret,C
Tarih,Anadolu'nun Türkleşmesini sağlayan savaş nedir?,Pasinler,Malazgirt,Kösedağ,Miryokefalon,B
Tarih,Osmanlı Devleti hangi savaşla fiilen sona erdi?,Birinci Dünya Savaşı,Balkan Savaşları,Kurtuluş Savaşı,Sakarya Meydan Muharebesi,A
Tarih,TBMM ne zaman açıldı?,1919,1920,1923,1921,B
Tarih,Atatürk’ün katıldığı ilk savaş hangisidir?,Sakarya Savaşı,Trablusgarp Savaşı,Balkan Savaşları,Çanakkale Savaşı,B
Coğrafya,Türkiye'nin yüz ölçümü yaklaşık kaç km²'dir?,"900,000","783,562","700,000","820,000",B
Coğrafya,Akdeniz'e kıyısı olan ülke hangisidir?,İtalya,Çekya,Avusturya,Macaristan,A
Coğrafya,Dünyanın en derin noktası neresidir?,Pasifik Adası,Mariana Çukuru,Atlas Okyanusu,Everest,B
Coğrafya,En uzun kara sınırına sahip ülke hangisidir?,ABD,Kanada,Rusya,Çin,C
Coğrafya,Balkanlar’da olmayan ülke hangisidir?,Bosna,Arnavutluk,İsviçre,Kosova,C
Coğrafya,Türkiye'nin en büyük akarsuyu hangisidir?,Fırat,Dicle,Sakarya,Kızılırmak,D
Coğrafya,Antarktika'da hangi canlı türü yaygındır?,Tavşan,Timsah,Penguen,Zürafa,C
Coğrafya,Norveç hangi bölge grubunda yer alır?,İskandinavya,Baltık,Benelüks,Balkanlar,A
Coğrafya,Türkiye’nin en yüksek şelalesi hangisidir?,Tortum,Manavgat,Düden,Kurşunlu,A
Coğrafya,Ege Denizi'nde bulunan Yunan adası hangisidir?,Kıbrıs,Sicilya,Rodos,Malta,C
Coğrafya,Amazon Nehri'nin döküldüğü okyanus hangisidir?,Pasifik,Atlas Okyanusu,Arktik,Hint,B
Coğrafya,Türkiye'nin en büyük ikinci gölü hangisidir?,Beyşehir,Eğirdir,Manyas,Tuz Gölü,D
Coğrafya,Japonya hangi okyanus kıyısındadır?,Atlantik,Pasifik,Hint,Arktik,B
Coğrafya,Almanya'nın başkenti neresidir?,Münih,Berlin,Hamburg,Frankfurt,B
Coğrafya,Karadeniz'e kıyısı olan ülkelerden biri?,İtalya,Bulgaristan,İsviçre,Avusturya,B
Coğrafya,Asya kıtasının en büyük ülkesi hangisidir?,Çin,Rusya,Kazakistan,Hindistan,B
Coğrafya,Hangi şehir iki kıta üzerine kuruludur?,Kahire,Ankara,İstanbul,Bakü,C
Coğrafya,Türkiye'nin en uzun nehri hangisidir?,Yeşilırmak,Fırat,Sakarya,Kızılırmak,D
Coğrafya,Yer kabuğunun en üst katmanı nedir?,Atmosfer,Litosfer,Biyosfer,Hidrosfer,B
Coğrafya,Süveyş Kanalı hangi iki denizi birleştirir?,Hint - Arktik,Karadeniz - Ege,Baltık - Kuzey Denizi,Akdeniz - Kızıldeniz,D
Bilim,Hücre bölünmesi sırasında kromozomlar hangi evrede dizilir?,Anafaz,Profaz,Telofaz,Metafaz,D
Bilim,Güneş’in enerji kaynağı nedir?,Yanma,Reaksiyon,Fisyon,Füzyon,D
Bilim,Hangi organ vücuttaki insülini üretir?,Dalak,Karaciğer,Pankreas,Mide,C
Bilim,Kan grubu sistemini kim keşfetti?,Pasteur,Curie,Fleming,Karl Landsteiner,D
Bilim,Ses dalgaları hangi ortamda yayılmaz?,Su,Demir,Hava,Boşluk,D
Bilim,En küçük canlı birimi nedir?,Organ,Atom,Hücre,Molekül,C
Bilim,İnsan genetik bilgisini taşıyan yapı?,Protein,Enzim,RNA,DNA,D
Bilim,Buz neden suyun üstünde yüzer?,Yoğunluğu az olduğu için,Donduğu için,Basınç yüksek,Kütlesi az,A
Bilim,Karbon elementinin atom numarası kaçtır?,12,6,8,4,B
Bilim,Sesin yayılma hızı hangi ortamda en hızlıdır?,Gaz,Sıvı,Vakum,Katı,D
Bilim,İnsan gözü kaç ana renge duyarlıdır?,6,4,2,3,D
Bilim,Vücut sıcaklığımızı hangi sistem düzenler?,Sindirim,Dolaşım,Sinir sistemi,Kas,C
Bilim,Sürtünme kuvveti nedir?,Hareketi engelleyen kuvvet,Çekme,İtme,Basınç,A
Bilim,Göz hangi ışık türünü algılar?,Görünür,X-Ray,UV,Kızılötesi,A
Bilim,Bir cismin birimi nedir?,kg,m,N,K,A
Bilim,Enzimler hangi yapıda oluşur?,Karbonhidrat,DNA,Protein,Yağ,C
Bilim,Atmosferde en çok bulunan gaz?,Karbon Dioksit,Oksijen,Helyum,Azot,D
Bilim,Fotosentezde hangi gaz açığa çıkar?,Azot,Helyum,Karbondioksit,Oksijen,D
Bilim,Aşıların amacı nedir?,Bağışıklık sağlamak,DNA değiştirmek,Protein üretmek,Hastalık üretmek,A
Bilim,Maddenin plazma hali nerede görülür?,Cam,Yıldızlarda,Deniz,Toprak,B
Genel Kültür,Türk lirası ilk kez ne zaman kullanılmaya başlandı?,1923,1919,1950,1930,A
Genel Kültür,Atatürk'ün yazdığı kitap hangisidir?,Nutuk,Tutanamayanlar,Sergüzeşt,Safahat,A
Genel Kültür,Ayasofya hangi şehirde bulunur?,İstanbul,Ankara,İzmir,Bursa,A
Genel Kültür,TBMM ilk kez nerede toplandı?,Sivas,İstanbul,Eskişehir,Ankara,D
Genel Kültür,Türkiye'nin en büyük ili (nüfus) hangisidir?,İstanbul,İzmir,Ankara,Bursa,A
Genel Kültür,Google hangi yıl kuruldu?,2001,2000,1998,1995,C
Genel Kültür,Dünyada internetin temelleri hangi yılda atıldı?,1980,1969,2000,1990,B
Genel Kültür,Hangi ülkenin bayrağında ejderha vardır?,Çin,Nepal,Endonezya,Bhutan,D
Genel Kültür,Whatsapp hangi firmaya aittir?,Microsoft,Apple,Google,Meta,D
Genel Kültür,Dünyanın en büyük şirketi (2024),Amazon,Microsoft,Alphabet,Apple,D
Genel Kültür,Mars'a ilk insanlı görev hangi yılda planlanıyor?,2030,2028,2025,2040,A
Genel Kültür,Türkiye'nin en uzun tüneli hangisidir?,Zigana Tüneli,Boludağ,Ovit,Avrasya,A
Genel Kültür,Nobel Barış Ödülü nerede verilir?,Finlandiya,İsviçre,Norveç,İsveç,C
Genel Kültür,Euro para birimini ilk kullanan ülke?,İtalya,Almanya,Fransa,İspanya,B
Genel Kültür,En eski üniversitelerden biri hangisidir?,Yale,Sorbonne,Harvard,Oxford,D
Genel Kültür,Beyaz Saray nerede bulunur?,Washington,Los Angeles,New York,Boston,A
Genel Kültür,En çok kitap okunan ülke hangisidir?,Japonya,Hindistan,Fransa,Almanya,B
Genel Kültür,Mona Lisa hangi müzede sergileniyor?,Louvre,Vatikan,Metropolitan,British Museum,A
Genel Kültür,Dünyanın en yüksek binası hangisidir?,Abraj Al-Bait,Shanghai Tower,One World,Burj Khalifa,D
Genel Kültür,Yunus Emre'nin tasavvuf felsefesi nedir?,Zenginlik,Öfke,Sevgi,Güç,C
Sanat,Rönesans nerede başlamıştır?,İtalya,Almanya,Fransa,İspanya,A
Sanat,Michelangelo'nun en ünlü eseri nedir?,Yıldızlı Gece,Son Akşam Yemeği,Davud Heykeli,Guernica,C
Sanat,Osman Hamdi Bey’in ünlü eseri hangisidir?,Kaplumbağa Terbiyecisi,Gece Nöbeti,Çığlık,İnci Küpeli Kız,A
Sanat,'Persistence of Memory' eseri kime aittir?,Monet,Salvador Dali,Klee,Da Vinci,B
Sanat,Pablo Picasso hangi akımı başlatmıştır?,Kübizm,Barok,Dadaizm,Empresyonizm,A
Sanat,Anıtkabir hangi mimari tarzda yapılmıştır?,Barok,Gotik,Neoklasik,Rönesans,C
Sanat,Hangi sanatçı modern heykelin öncüsüdür?,Goya,Kahlo,Rodin,Warhol,C
Sanat,Türk tiyatrosunun kurucusu kimdir?,Muhsin Ertuğrul,Haldun Taner,Genco Erkal,Ferhan Şensoy,A
Sanat,En çok Oscar kazanan film hangisidir?,Gladiator,Titanic,Avatar,Forrest Gump,B
Sanat,Müzikte tempo ölçüsü nedir?,Hz,BPM,dB,KHz,B
Sanat,Barok dönemi bestecisi kimdir?,Bach,Beethoven,Mozart,Tchaikovsky,A
Sanat,Empresyonizm hangi sanat dalıyla ilgilidir?,Heykel,Sinema,Tiyatro,Resim,D
Sanat,En ünlü bale gösterisi hangisidir?,Don Kişot,Carmen,Fındıkkıran,Kuğu Gölü,D
Sanat,İlk sinema filmi ne zaman çekildi?,1910,1905,1920,1895,D
Sanat,'Çığlık' tablosu kime aittir?,Van Gogh,Monet,Pollock,Edvard Munch,D
Sanat,Sanatta 'perspektif' neyi anlatır?,Işık,Biçim,Renk,Derinlik,D
Sanat,Miniatür sanatı hangi kültüre aittir?,Hindu,İslam,Roma,Maya,B
Sanat,Türkiye'de modern resmin öncüsü kimdir?,Avni Lifij,Abidin Dino,Bedri Rahmi,Fikret Mualla,B
Sanat,Mürekkep baskı sanatı nedir?,Peyzaj,Mozaik,Fresk,Gravür,D
Sanat,Karagöz ve Hacivat hangi sanat türüdür?,Tiyatro,Opera,Gölge oyunu,Meddah,C
Spor,FIFA Dünya Kupası kaç yılda bir düzenlenir?,5,3,4,2,C
Spor,NBA'de en çok şampiyon olan takım hangisidir?,Miami Heat,Boston Celtics,LA Lakers,Chicago Bulls,B
Spor,Olimpiyat Oyunları'nın simgesi nedir?,Bayrak,Meşale,Beş halka,Zeytin dalı,C
Spor,Teniste servis karşılamaya ne denir?,Volley,Serve,Ace,Return,D
Spor,Türkiye'nin en çok şampiyon olan futbol takımı hangisidir?,Fenerbahçe,Galatasaray,Trabzonspor,Beşiktaş,B
Spor,Messi hangi ülkenin milli takımında oynar?,İspanya,Arjantin,Portekiz,Brezilya,B
Spor,Formula 1 yarışları hangi araçlarla yapılır?,Go-Kart,Drag aracı,Tek koltuklu yarış arabası,Ralli aracı,C
Spor,2020 Tokyo Olimpiyatları ne zaman yapıldı?,2019,2021,2020,2022,B
Spor,Basketbol maçında kaç oyuncu sahada olur?,6,10,12,8,B
Spor,Futbol sahasında kale direkleri arası kaç metredir?,7.32,7,6,7.50,A
Spor,Yüzmede en hızlı stil hangisidir?,Serbest,Sırtüstü,Kelebek,Kurbağalama,A
Spor,Gol atamayan futbolcuya ne denir?,Kaleci,Orta saha,Defans,Forvet,C
Spor,Teniste sıfır skora ne denir?,Blank,Zero,Nil,Love,D
Spor,En fazla olimpiyat madalyası kazanan ülke hangisidir?,ABD,Japonya,Rusya,Çin,A
Spor,Türkiye'nin ilk kadın milli voleybolcusu kimdir?,Gözde Kırdar,Eda Erdem,Neslihan Demir,Naz Aydemir,C
Spor,Ronaldo hangi takımla ünlendi?,Manchester United,Real Madrid,Juventus,Sporting,A
Spor,Basketbol potası yerden ne kadar yüksektir?,2.75 m,3.5 m,3.05 m,2.90 m,C
Spor,Voleybolda bir sette kaç sayı gerekir?,30,25,21,15,B
Spor,Wimbledon hangi ülkede düzenlenir?,Avustralya,İngiltere,ABD,Fransa,B
Spor,Beşiktaş kulübü hangi yılda kurulmuştur?,1905,1923,1919,1903,D
Edebiyat,'İnce Memed' romanının yazarı kimdir?,Kemal Tahir,Sabahattin Ali,Yaşar Kemal,Orhan Kemal,C
Edebiyat,'Kürk Mantolu Madonna' kimin eseridir?,Ahmet Hamdi Tanpınar,Yakup Kadri,Sabahattin Ali,Oğuz Atay,C
Edebiyat,'Sefiller' romanının yazarı kimdir?,Dumas,Zola,Victor Hugo,Balzac,C
Edebiyat,'Tutunamayanlar' romanı hangi türe girer?,Postmodern,Romantik,Natüralist,Realist,A
Edebiyat,'Çalıkuşu' romanı kime aittir?,Reşat Nuri Güntekin,Yakup Kadri,Ahmet Mithat,Halide Edip,A
Edebiyat,'Divan edebiyatı' hangi döneme aittir?,Cumhuriyet,Tanzimat,Selçuklu,Osmanlı,D
Edebiyat,'Nutuk' ne tür bir eserdir?,Roman,Söylev,Anı,Makale,B
Edebiyat,Modern Türk şiirinin öncülerinden biri kimdir?,Nazım Hikmet,Orhan Veli,Necip Fazıl,Attila İlhan,A
Edebiyat,'İki Şehrin Hikayesi' romanı kimin eseridir?,Jane Austen,George Orwell,Leo Tolstoy,Charles Dickens,D
Edebiyat,'1984' romanının yazarı kimdir?,Philip K. Dick,George Orwell,Aldous Huxley,Ray Bradbury,B
Edebiyat,Servet-i Fünun edebiyatının lideri kimdir?,Namık Kemal,Ziya Paşa,Tevfik Fikret,Şinasi,C
Edebiyat,'Aşk-ı Memnu' kimin eseridir?,Yakup Kadri,Halit Ziya Uşaklıgil,Peyami Safa,Ahmet Hamdi,B
Edebiyat,'Saatleri Ayarlama Enstitüsü' yazarı kimdir?,Halikarnas Balıkçısı,Orhan Pamuk,Oğuz Atay,Ahmet Hamdi Tanpınar,D
Edebiyat,'Yaban' romanı kime aittir?,Yakup Kadri Karaosmanoğlu,Halide Edip,Reşat Nuri,Ahmet Mithat,A
Edebiyat,'Serenad' romanının yazarı kimdir?,Ayşe Kulin,Elif Şafak,Zülfü Livaneli,Ahmet Ümit,C
Edebiyat,'Simyacı' kitabının yazarı kimdir?,Paulo Coelho,Dan Brown,Stephen King,Orhan Pamuk,A
Edebiyat,'Benim Adım Kırmızı' kimin eseridir?,Orhan Pamuk,Zülfü Livaneli,Ahmet Ümit,Elif Şafak,A
Edebiyat,'Don Kişot' romanının yazarı kimdir?,Miguel de Cervantes,Dante,Shakespeare,Voltaire,A
Edebiyat,'Hamlet' eseri kime aittir?,Sophokles,Homer,William Shakespeare,Virgil,C
Edebiyat,'Sinekli Bakkal' romanı hangi yazara aittir?,Fatma Aliye,Halide Edip Adıvar,Yakup Kadri,Reşat Nuri,B
Teknoloji,Python dili hangi amaçla yaygın olarak kullanılır?,Oyun,Veri bilimi,Web,Grafik,B
Teknoloji,Android işletim sistemi kime aittir?,Google,Microsoft,IBM,Apple,A
Teknoloji,HTML ne için kullanılır?,Veri analizi,Oyun,Web sayfası tasarımı,Sürücü,C
Teknoloji,İlk bilgisayar ne zaman üretildi?,1950'ler,1960'lar,1940'lar,1920'ler,C
Teknoloji,Facebook'un kurucusu kimdir?,Bill Gates,Steve Jobs,Mark Zuckerberg,Larry Page,C
Teknoloji,SSD'nin açılımı nedir?,Simple Storage Device,Solid State Drive,Smart Storage Disk,Super Speed Drive,B
Teknoloji,VR gözlükleri hangi teknolojiyi kullanır?,Artırılmış gerçeklik,Sanal gerçeklik,Makine öğrenimi,Yapay zeka,B
Teknoloji,USB'nin açılımı nedir?,Ultra Smart Bus,Universal Serial Bus,User Storage Box,Unified Storage Base,B
Teknoloji,Google Chrome hangi amaçla kullanılır?,Müzik,İnternette gezinmek,Kodlama,Oyun,B
Teknoloji,Yapay zekanın kısaltması nedir?,AI,NN,DL,ML,A
Teknoloji,JavaScript hangi alanda kullanılır?,Sistem programlama,Veri bilimi,Sürücü,Web geliştirme,D
Teknoloji,İlk iPhone hangi yılda çıktı?,2004,2005,2007,2010,C
Teknoloji,RAM ne işe yarar?,İşlemci,Ekran kartı,Kalıcı depolama,Geçici hafıza,D
Teknoloji,En popüler işletim sistemi nedir?,Linux,Android,Windows,macOS,C
Teknoloji,QR kodlar hangi bilgiyi taşır?,Ses,Şifre,URL,Resim,C
Teknoloji,Bir bilgisayarda işlemci ne yapar?,Bağlantı,Saklama,Veri işleme,Gösterme,C
Teknoloji,Wi-Fi ne işe yarar?,Dosya depolama,Kablosuz internet bağlantısı,Yazılım kurma,Program çalıştırma,B
Teknoloji,Hangi programlama dili web için değildir?,C,HTML,JavaScript,CSS,A
Teknoloji,LinkedIn hangi amaçla kullanılır?,İş ağı,Alışveriş,Müzik,Eğlence,A
Teknoloji,Bilgisayar virüslerinden korunmak için ne kullanılır?,Şifre,Antivirüs,Firewall,VPN,B
